part,customer_id,fea_1,fea_2,fea_3,fea_4,fea_5,fea_6,fea_7,fea_8,fea_9,fea_10,fea_11
2,59006376,7,1214.0,3,59000.0,2,11,9,86,5,60018,200.0
2,59006378,5,1272.5,3,70000.0,2,15,5,113,5,60033,167.1227094
2,59006380,4,1322.0,3,35000.0,2,8,5,95,3,151300,173.20508080000002
2,59006382,4,1239.5,3,68000.0,2,8,5,84,5,60052,1.0
2,59006384,4,1328.0,3,148000.0,2,8,2,110,5,60064,1.0
2,59006386,5,1371.5,3,82000.0,2,15,5,115,5,151300,1.0
2,59006388,4,1313.0,3,133000.0,2,8,5,80,5,60074,1.0
2,59006390,5,1212.5,3,125000.0,2,15,10,113,4,550005,187.08286930000003
2,59006392,4,1322.0,1,104000.0,2,8,5,114,3,60019,212.1320344
2,59006394,7,1214.0,3,51000.0,2,11,9,111,5,72000,1.0
2,59006396,4,1305.5,3,91000.0,2,8,2,95,5,60091,1.0
2,59006398,4,1278.5,3,115000.0,2,8,5,99,3,72000,173.20508080000002
2,59006400,7,1241.0,3,75000.0,2,11,5,110,4,450059,194.93588689999999
2,59006402,4,1281.5,3,304000.0,2,8,5,84,3,60024,1.0
2,59006404,5,1230.5,3,58000.0,2,15,-1,92,3,340020,122.4744871
2,59006406,7,,2,58000.0,2,11,5,113,4,510010,187.08286930000003
2,59006408,7,1257.5,1,84000.0,1,11,5,106,5,71000,173.20508080000002
2,59006410,4,1305.5,3,59000.0,2,8,5,113,4,72004,1.0
2,59006412,5,1223.0,3,90000.0,2,15,5,101,3,450091,223.6067977
2,59006414,4,1214.0,3,118000.0,2,8,5,110,4,71000,223.6067977
2,59006416,4,1235.0,3,84000.0,2,8,5,82,5,60044,1.0
2,59006418,7,1266.5,1,165000.0,2,11,5,111,3,60084,1.0
2,59006420,4,1304.0,1,100000.0,2,8,-1,113,3,350098,158.11388300000002
2,59006422,7,,2,64000.0,2,11,5,113,4,151009,159.88120590000003
2,59006424,7,,3,108000.0,1,11,-1,111,4,450006,158.11388300000002
2,59006426,7,1244.0,3,59000.0,2,11,5,79,3,60040,173.20508080000002
2,59006428,5,1314.5,3,177000.0,2,15,5,105,5,60059,1.0
2,59006430,4,1386.5,3,296000.0,2,9,5,109,5,151300,223.6067977
2,59006432,7,,3,35000.0,2,12,-1,86,3,650070,161.8548733
2,59006434,4,1257.5,1,91000.0,2,8,5,90,3,72000,1.0
2,59006436,4,1269.5,3,107000.0,1,8,9,81,3,60040,173.20508080000002
2,59006438,4,1304.0,3,60000.0,2,8,2,95,5,60058,223.6067977
2,59006440,7,1283.0,3,90000.0,2,11,5,85,5,60000,1.0
2,59006442,4,,2,139000.0,2,8,5,111,3,60036,1.0
2,59006444,4,,2,60000.0,2,8,9,100,5,151300,172.3223723
2,59006446,7,1265.0,3,70000.0,2,11,-1,81,5,350704,316.22776600000003
2,59006448,7,1256.0,1,126000.0,2,11,9,102,3,350705,158.11388300000002
2,59006450,7,1314.5,3,150000.0,2,11,10,113,4,60023,187.08286930000003
2,59006452,4,1320.5,1,138000.0,2,8,9,108,3,60000,212.407627
2,59006454,5,1377.5,3,96000.0,2,15,5,87,5,60044,207.3644135
2,59006456,7,1415.0,3,155000.0,2,11,5,107,3,60005,212.1320344
2,59006458,5,1272.5,3,143000.0,2,15,5,114,4,72001,223.6067977
2,59006460,4,1278.5,3,186000.0,2,8,5,100,5,72000,173.20508080000002
2,59006462,7,1254.5,3,100000.0,2,11,5,84,5,151300,158.11388300000002
2,59006464,4,1239.5,3,90000.0,2,8,5,100,3,60019,173.20508080000002
2,59006466,7,1281.5,3,98000.0,2,11,9,114,4,60019,1.0
2,59006468,7,1376.0,1,150000.0,2,11,-1,110,4,60000,219.2487172
2,59006470,7,1350.5,1,110000.0,2,11,-1,108,5,71000,1.0
2,59006472,4,1338.5,1,112000.0,2,8,5,90,3,330008,1.0
2,59006474,5,1250.0,1,167000.0,2,15,-1,90,5,450080,141.4213562
2,59006476,4,1307.0,1,133000.0,2,8,5,110,3,60043,1.0
2,59006478,7,1235.0,1,75000.0,2,11,5,91,5,350092,200.0
2,59006480,5,1308.5,3,30000.0,2,15,5,99,5,60062,1.0
2,59006482,4,1340.0,3,116000.0,2,8,9,104,5,72000,1.0
2,59006484,4,1214.0,3,81000.0,2,8,9,101,4,60040,1.0
2,59006486,7,1230.5,1,129000.0,2,11,5,88,3,60043,1.0
2,59006488,4,1241.0,3,60000.0,2,8,5,115,5,60036,1.0
2,59006490,5,,3,95000.0,2,15,-1,112,4,450006,173.20508080000002
2,59006492,7,1284.5,3,106000.0,2,11,9,104,4,60036,1.0
2,59006494,4,1308.5,1,35000.0,2,8,5,103,5,151300,1.0
2,59006496,4,1227.5,3,62000.0,2,8,5,110,5,60069,1.0
2,59006498,5,1277.0,1,142000.0,2,15,-1,111,4,450002,197.48417659999998
2,59006500,7,1277.0,3,98000.0,2,11,5,92,5,60036,1.0
2,59006502,5,1347.5,3,150000.0,2,15,5,110,5,72000,538.5387637
2,59006504,5,,2,82000.0,2,15,5,106,5,60058,1.0
2,59006506,7,1266.5,3,89000.0,2,11,5,89,3,60091,1.0
2,59006508,5,1268.0,3,91000.0,2,15,5,112,4,71008,1.0
2,59006510,5,1265.0,1,90000.0,2,15,-1,110,5,450018,187.08286930000003
2,59006512,5,1310.0,1,500000.0,2,15,5,103,5,452306,244.94897430000003
2,59006514,7,1290.5,1,99000.0,2,11,-1,110,5,450062,200.0
2,59006516,5,1272.5,3,97000.0,2,15,8,105,5,72000,1.0
2,59006518,5,1304.0,3,390000.0,2,15,5,91,5,60050,1.0
2,59006520,4,1277.0,3,100000.0,2,8,5,100,5,60000,223.6067977
2,59006522,4,1356.5,1,148000.0,2,8,5,83,3,60001,1.0
2,59006524,7,1262.0,3,172000.0,2,11,9,112,4,72000,262.11066370000003
2,59006526,7,1247.0,3,71000.0,1,11,9,95,4,60026,200.7560709
2,59006528,7,1235.0,3,89000.0,2,11,5,115,5,60065,1.0
2,59006530,4,1196.0,3,65000.0,2,8,-1,108,4,72001,1.0
2,59006532,5,1269.5,3,86000.0,2,15,9,89,5,60019,1.0
2,59006534,5,1256.0,3,110000.0,2,15,9,107,5,60018,1.0
2,59006536,7,1254.5,3,97000.0,2,11,5,83,3,60017,282.8427125
2,59006538,5,1239.5,3,78000.0,2,15,5,112,4,450015,214.4761059
2,59006540,7,1241.0,3,63000.0,2,11,5,107,5,72000,1.0
2,59006542,4,1341.5,1,91000.0,1,8,5,100,4,151300,173.6605885
2,59006544,4,1317.5,3,293000.0,2,8,5,100,5,60018,1.0
2,59006546,5,1326.5,3,30000.0,2,15,5,110,5,60005,1.0
2,59006548,5,1310.0,3,325000.0,2,15,5,83,3,71000,1.0
2,59006550,5,1274.0,3,127000.0,2,15,9,113,4,72001,212.1320344
2,59006552,5,,2,30000.0,2,15,5,104,3,72002,207.3644135
2,59006554,7,1317.5,3,150000.0,2,11,5,112,5,450042,345.7947368
2,59006556,7,1346.0,1,112000.0,2,11,5,85,5,60064,200.0
2,59006558,5,1277.0,1,101000.0,2,15,5,111,4,60091,1.0
2,59006560,4,1338.5,3,165000.0,2,8,5,111,5,151300,288.09720580000004
2,59006562,7,1316.0,1,117000.0,2,11,-1,110,5,361013,1.0
2,59006564,4,1272.5,3,170000.0,2,8,5,110,4,60019,1.0
2,59006566,5,1269.5,1,175000.0,2,15,5,110,5,350057,173.20508080000002
2,59006568,4,1283.0,3,94000.0,2,8,9,64,5,60017,1.0
2,59006570,7,1329.5,1,150000.0,2,11,-1,86,5,60036,1.0
2,59006572,7,1266.5,3,130000.0,2,11,9,100,5,60005,173.20508080000002
2,59006574,5,1248.5,3,98000.0,2,15,5,110,4,550003,178.8854382
2,59006576,7,1340.0,3,341000.0,2,11,5,112,5,72001,1.0
2,59006578,5,1292.0,3,119000.0,2,15,9,107,4,72001,187.08286930000003
2,59006580,7,1266.5,3,120000.0,1,11,9,110,3,60029,316.22776600000003
2,59006582,5,,2,90000.0,2,15,5,92,5,72014,1.0
2,59006584,4,1268.0,1,104000.0,2,8,9,95,5,60027,1.0
2,59006586,7,1242.5,3,56000.0,2,11,5,113,4,151300,1.0
2,59006588,7,1272.5,3,80000.0,2,11,9,86,4,60043,1.0
2,59006590,4,,2,57000.0,2,8,-1,100,3,72000,194.18290349999998
2,59006592,7,1298.0,1,71000.0,2,11,-1,113,4,72000,1.0
2,59006594,4,1298.0,3,101000.0,2,8,9,105,3,60052,212.1320344
2,59006596,4,,2,126000.0,2,8,-1,109,5,330012,1.0
2,59006598,7,1214.0,3,58000.0,2,11,5,112,4,71006,1.0
2,59006600,7,1355.0,3,94000.0,2,11,5,114,4,510044,216.3816074
2,59006602,7,1289.0,1,107000.0,2,11,5,102,3,151300,1.0
2,59006604,7,1295.0,1,116000.0,2,11,9,108,4,151300,1.0
2,59006606,7,1308.5,3,143000.0,2,11,5,100,3,151009,173.20508080000002
2,59006608,7,,2,53000.0,2,11,5,105,4,151307,186.2229846
2,59006610,7,1188.5,3,90000.0,2,11,5,98,5,60017,1.0
2,59006612,4,1290.5,1,118000.0,1,8,5,100,5,60023,141.4213562
2,59006614,5,1305.5,3,35000.0,2,15,9,115,4,72000,1.0
2,59006616,7,1230.5,3,114000.0,2,11,5,112,4,72000,254.9509757
2,59006618,7,,2,179000.0,2,11,5,113,4,450002,267.58176319999995
2,59006620,5,,3,94000.0,2,15,5,113,4,60057,193.6362569
2,59006622,4,1287.5,3,110000.0,2,8,9,80,5,151300,1.0
2,59006624,4,1290.5,1,103000.0,2,8,9,112,4,60084,176.0681686
2,59006626,5,1367.0,3,167000.0,2,15,5,95,5,60021,244.94897430000003
2,59006628,7,1419.5,1,89000.0,2,11,5,110,3,350060,337.106808
2,59006630,5,1307.0,3,91000.0,2,15,5,110,5,60023,200.0
2,59006632,5,1322.0,3,195000.0,2,15,5,90,3,60033,240.83189159999998
2,59006634,5,1250.0,3,93000.0,2,15,7,111,5,350062,244.94897430000003
2,59006636,4,1179.5,3,56000.0,2,8,5,99,3,72000,234.52078799999998
2,59006638,4,,2,39000.0,2,8,5,113,4,72015,172.4731863
2,59006640,5,1269.5,1,77000.0,1,15,-1,84,5,450000,167.33200530000002
2,59006642,4,1316.0,1,127000.0,2,8,-1,95,5,330013,1.0
2,59006644,7,1272.5,1,229000.0,2,11,-1,112,3,450000,173.20508080000002
2,59006646,7,1262.0,3,151000.0,2,11,5,114,4,510102,251.968252
2,59006648,5,1443.5,3,155000.0,1,15,5,104,5,60000,254.9509757
2,59006650,5,1187.0,3,102000.0,2,15,5,113,4,450081,197.48417659999998
2,59006652,4,1338.5,1,107000.0,2,8,9,82,5,151300,1.0
2,59006654,4,,2,259000.0,1,8,5,110,4,72000,200.0
2,59006656,5,1296.5,1,130000.0,2,15,-1,86,4,60018,158.11388300000002
2,59006658,7,1355.0,1,160000.0,2,11,5,84,3,151304,173.20508080000002
2,59006660,4,1253.0,1,468000.0,2,8,5,81,5,60016,204.93901530000002
2,59006662,7,1296.5,3,138000.0,1,11,5,100,5,60027,158.11388300000002
2,59006664,7,,2,106000.0,2,11,-1,90,5,60033,1.0
2,59006666,4,,2,50000.0,2,8,5,87,5,60033,167.93451100000001
2,59006668,5,1302.5,1,177000.0,2,15,9,80,3,371200,158.11388300000002
2,59006670,4,1238.0,3,125000.0,2,8,9,85,5,60002,1.0
2,59006672,5,1214.0,3,56000.0,2,15,5,101,5,60064,192.1639925
2,59006674,4,,2,45000.0,2,8,5,85,4,151307,172.1307642
2,59006676,7,1290.5,3,113000.0,2,11,5,109,5,60091,204.93901530000002
2,59006678,7,1245.5,3,58000.0,2,11,5,101,5,60058,200.0
2,59006680,5,1316.0,3,500000.0,2,15,5,104,5,72000,316.22776600000003
2,59006682,4,,2,97000.0,2,8,5,110,4,72001,196.3644571
2,59006684,7,1332.5,3,98000.0,2,11,5,107,5,60033,262.12783140000005
2,59006686,7,1290.5,1,108000.0,1,11,5,95,5,60064,1.0
2,59006688,7,1259.0,3,147000.0,2,11,9,110,5,350029,421.07006540000003
2,59006690,4,,2,446000.0,2,8,-1,90,5,60014,1.0
2,59006692,4,1245.5,3,87000.0,2,8,5,112,5,60033,222.13284309999997
2,59006694,5,1296.5,3,148000.0,2,15,5,100,4,60023,187.08286930000003
2,59006696,7,,2,75000.0,2,11,9,111,4,151009,173.20508080000002
2,59006698,4,1349.0,3,139000.0,2,8,5,109,5,151304,212.1320344
2,59006700,7,1319.0,3,88000.0,2,11,5,114,4,151300,228.4513077
2,59006702,5,1301.0,1,114000.0,2,15,5,106,3,351106,187.08286930000003
2,59006704,4,1241.0,3,60000.0,2,8,5,107,3,151300,187.08286930000003
2,59006706,7,1397.0,1,131000.0,2,11,5,95,5,60001,1.0
2,59006708,5,1224.5,3,56000.0,2,15,5,113,4,151307,1.0
2,59006710,7,1307.0,1,182000.0,2,11,-1,101,5,350052,200.0
2,59006712,7,1236.5,1,150000.0,2,11,9,110,4,450000,212.1320344
2,59006714,4,1305.5,3,128000.0,2,8,5,114,4,72000,291.1889421
2,59006716,4,1305.5,1,117000.0,2,8,5,112,5,60029,1.0
2,59006718,4,1238.0,3,75000.0,2,8,5,104,4,72001,1.0
2,59006720,5,1229.0,3,50000.0,2,15,9,110,5,450071,200.0
2,59006722,5,1305.5,3,130000.0,2,15,5,100,5,60016,1.0
2,59006724,7,1205.0,3,77000.0,2,11,-1,85,5,151300,273.86127880000004
2,59006726,5,1266.5,3,82000.0,2,15,9,114,1,60047,200.0
2,59006728,2,1349.0,1,286000.0,2,3,-1,80,3,361003,1.0
2,59006730,7,,2,63000.0,2,11,5,84,5,60019,158.11388300000002
2,59006732,7,1247.0,3,66000.0,2,11,-1,109,5,60041,1.0
2,59006734,7,1232.0,1,96000.0,2,11,9,88,5,151300,233.520877
2,59006736,7,1367.0,1,80000.0,2,12,-1,112,5,60000,245.58501580000004
2,59006738,4,1298.0,1,165000.0,2,8,9,90,3,72000,234.4504212
2,59006740,5,1259.0,3,94000.0,2,15,9,105,3,350063,200.0
2,59006742,7,1233.5,3,78000.0,2,11,5,105,3,60036,1.0
2,59006744,4,1352.0,1,128000.0,2,8,5,72,3,60058,1.0
2,59006746,7,1370.0,3,394000.0,2,11,5,112,5,510009,445.0382006
2,59006748,4,1325.0,1,126000.0,2,8,9,106,5,71003,1.0
2,59006750,4,1295.0,1,35000.0,2,8,5,90,3,151300,1.0
2,59006752,4,1329.5,1,181000.0,2,8,5,111,3,340017,223.6067977
2,59006754,7,1310.0,3,128000.0,2,11,9,105,5,60052,223.6067977
2,59006756,4,1274.0,1,132000.0,2,8,5,107,3,60016,202.4845673
2,59006758,7,1326.5,1,91000.0,1,11,9,106,4,450080,291.5475947
2,59006760,7,1334.0,3,86000.0,2,11,5,113,5,510065,168.5140944
2,59006762,7,1256.0,3,130000.0,1,11,9,105,5,60058,187.08286930000003
2,59006764,4,1320.5,1,122000.0,2,8,5,103,5,60046,1.0
2,59006766,4,1257.5,1,110000.0,2,8,5,89,3,350063,189.7366596
2,59006768,4,1425.5,3,146000.0,2,8,5,113,5,60062,1.0
2,59006770,4,1248.5,3,50000.0,2,8,-1,100,3,332345,387.29833460000003
2,59006772,7,1328.0,3,71000.0,2,11,5,109,5,60004,444.4738462
2,59006774,7,,2,73000.0,2,11,9,109,3,151300,189.8051633
2,59006776,4,1242.5,3,70000.0,1,8,5,103,3,60040,181.65902119999998
2,59006778,7,1263.5,3,35000.0,2,12,-1,115,4,350012,271.11621119999995
2,59006780,4,1313.0,3,98000.0,1,8,9,103,5,151300,173.20508080000002
2,59006782,5,1322.0,3,30000.0,2,15,5,91,5,60047,164.3167673
2,59006784,4,,2,48000.0,1,8,5,101,5,72000,165.37533069999998
2,59006786,7,1263.5,3,53000.0,2,11,5,111,5,60095,1.0
2,59006788,5,1221.5,3,97000.0,2,15,9,109,4,72001,263.3097036
2,59006790,7,1289.0,3,68000.0,1,11,5,86,3,60016,173.20508080000002
2,59006792,5,,2,58000.0,2,15,5,95,3,60075,212.1320344
2,59006794,5,1307.0,1,39000.0,2,15,9,114,4,450016,160.44625269999997
2,59006796,7,,3,72000.0,2,11,-1,107,4,450048,141.4213562
2,59006798,4,1190.0,3,128000.0,2,8,5,105,5,72000,1.0
2,59006800,4,1353.5,3,125000.0,2,8,9,107,5,60093,1.0
2,59006802,5,1257.5,3,35000.0,2,15,-1,89,5,60005,1.0
2,59006804,5,1272.5,3,76000.0,2,15,5,104,5,60084,1.0
2,59006806,5,,2,47000.0,2,15,5,112,4,510037,175.8266191
2,59006808,7,1238.0,3,59000.0,2,11,9,112,5,60000,1.0
2,59006810,7,1280.0,3,120000.0,2,11,5,115,5,151300,218.604666
2,59006812,4,1263.5,3,100000.0,2,8,5,64,5,60047,1.0
2,59006814,4,1293.5,1,149000.0,2,8,-1,96,3,60023,1.0
2,59006816,7,1190.0,3,95000.0,2,11,5,88,3,60019,1.0
2,59006818,7,1262.0,1,104000.0,2,11,8,107,4,60045,1.0
2,59006820,5,1358.0,1,101000.0,2,15,-1,111,5,72000,1.0
2,59006822,1,1217.0,2,300000.0,2,4,-1,79,5,550007,1.0
2,59006824,5,1223.0,3,50000.0,2,15,5,89,3,151300,1.0
2,59006826,7,1287.5,1,88000.0,2,11,-1,113,4,71003,1.0
2,59006828,5,1361.0,3,30000.0,1,15,5,110,5,60033,264.57513109999996
2,59006830,7,1223.0,3,68000.0,1,11,5,84,5,60014,158.11388300000002
2,59006832,4,,2,99000.0,2,8,5,90,3,60036,188.06647759999998
2,59006834,4,,2,105000.0,2,8,9,110,5,72000,187.0561413
2,59006836,7,1298.0,1,114000.0,2,11,5,103,3,60014,173.20508080000002
2,59006838,7,1326.5,3,208000.0,2,11,5,105,4,510070,279.6640842
2,59006840,7,1170.5,3,71000.0,2,11,5,111,4,151307,200.0
2,59006842,7,1325.0,1,50000.0,2,12,-1,105,5,350012,225.22877259999999
2,59006844,4,1320.5,1,123000.0,2,8,5,105,3,332444,1.0
2,59006846,4,1256.0,3,120000.0,2,8,5,105,5,72015,1.0
2,59006848,7,1304.0,1,98000.0,2,11,5,113,4,151300,180.2775638
2,59006850,5,,2,48000.0,2,15,5,107,4,450008,178.0056179
2,59006852,5,1238.0,3,104000.0,2,15,7,110,4,450075,243.03703419999997
2,59006854,4,1214.0,3,82000.0,1,8,5,100,5,60019,167.33200530000002
2,59006856,7,1368.5,3,390000.0,2,11,5,101,5,60024,173.20508080000002
2,59006858,7,1262.0,3,121000.0,2,11,5,106,5,151300,387.356425
2,59006860,7,1362.5,3,83000.0,2,11,9,100,4,151300,174.20677369999999
2,59006862,7,1253.0,1,50000.0,2,11,5,112,4,72049,184.3637708
2,59006864,7,1220.0,3,263000.0,2,11,9,90,2,151300,1.0
2,59006866,5,1236.5,1,52000.0,2,15,5,112,4,550009,172.61517890000002
2,59006868,7,1223.0,3,97000.0,2,11,5,109,3,450003,187.08286930000003
2,59006870,4,1290.5,3,140000.0,2,8,9,101,5,60063,1.0
2,59006872,4,1305.5,1,123000.0,2,8,5,106,3,330008,1.0
2,59006874,5,1241.0,3,30000.0,2,15,5,80,5,60006,1.0
2,59006876,4,1397.0,3,191000.0,2,8,9,114,4,72000,300.4080558
2,59006878,4,1314.5,1,177000.0,2,8,-1,112,5,60000,200.0
2,59006880,4,1305.5,1,118000.0,2,8,9,112,4,151300,223.6067977
2,59006882,4,1223.0,3,77000.0,2,8,9,111,5,72000,1.0
2,59006884,7,1304.0,1,130000.0,2,11,5,111,4,450046,223.6067977
2,59006886,7,1223.0,3,72000.0,2,11,-1,114,5,151300,167.33200530000002
2,59006888,4,1256.0,3,141000.0,2,8,5,84,3,60031,223.6067977
2,59006890,7,1233.5,3,59000.0,2,11,5,91,3,450052,387.29833460000003
2,59006892,7,1281.5,1,304000.0,2,11,-1,111,4,450001,244.94897430000003
2,59006894,4,1242.5,3,56000.0,2,8,-1,85,5,330007,1.0
2,59006896,7,1281.5,1,75000.0,2,11,5,87,5,72049,1.0
2,59006898,7,1328.0,3,182000.0,2,11,5,98,5,72001,173.20508080000002
2,59006900,7,,3,75000.0,2,11,9,100,5,450018,353.55339060000006
2,59006902,7,1277.0,1,119000.0,1,11,5,105,3,72000,217.4741364
2,59006904,7,1335.5,3,185000.0,2,11,5,100,5,351106,212.1320344
2,59006906,4,1239.5,3,85000.0,2,8,5,66,5,72000,1.0
2,59006908,7,1299.5,1,135000.0,2,11,5,87,3,350705,187.08286930000003
2,59006910,4,1214.0,3,56000.0,2,8,5,109,3,151300,200.0
2,59006912,4,,2,90000.0,2,8,5,111,4,72001,188.92591140000002
2,59006914,7,1298.0,1,128000.0,2,11,5,92,5,151300,173.20508080000002
2,59006916,7,1419.5,3,61000.0,2,11,5,80,5,151300,200.4594722
2,59006918,5,1241.0,3,51000.0,2,15,5,88,5,151300,1.0
2,59006920,7,1304.0,3,135000.0,2,11,5,90,3,550109,282.8427125
2,59006922,7,1301.0,1,75000.0,2,11,7,112,4,72000,1.0
2,59006924,7,1266.5,3,110000.0,1,11,5,99,5,151300,173.20508080000002
2,59006926,4,,2,94000.0,2,8,-1,113,4,72000,1.0
2,59006928,5,1269.5,1,180000.0,1,15,5,90,3,151009,173.20508080000002
2,59006930,5,1308.5,3,39000.0,2,15,5,82,3,450018,159.9843742
2,59006932,4,1304.0,3,35000.0,2,8,9,90,5,60047,1.0
2,59006934,7,1304.0,3,290000.0,2,11,5,111,4,60000,310.3836336
2,59006936,7,1307.0,1,80000.0,2,11,5,95,5,60026,1.0
2,59006938,7,1235.0,3,68000.0,2,11,5,110,5,450017,187.08286930000003
2,59006940,4,1277.0,1,162000.0,2,8,5,85,5,151304,212.1320344
2,59006942,4,1253.0,3,84000.0,2,8,5,107,4,72001,173.20508080000002
2,59006944,5,1242.5,3,30000.0,2,15,5,80,3,60050,200.0
2,59006946,7,1241.0,3,65000.0,2,11,9,110,3,151011,1.0
2,59006948,5,1116.5,3,214000.0,2,15,9,112,4,60019,200.0
2,59006950,4,1287.5,3,113000.0,2,8,5,110,4,151300,1.0
2,59006952,5,1251.5,3,106000.0,2,15,5,83,5,350012,223.6067977
2,59006954,7,1350.5,1,137000.0,2,11,5,100,3,60048,178.8854382
2,59006956,5,1305.5,3,72000.0,2,15,5,100,5,151300,1.0
2,59006958,5,1388.0,3,75000.0,2,15,5,113,5,450027,222.29709849999998
2,59006960,7,1320.5,1,123000.0,2,11,5,113,4,60091,1.0
2,59006962,7,,2,50000.0,2,11,5,112,5,72000,181.5543996
